title,authors,publisher,publicationYear,contentType,domain,url
Experiments with Body Agent Architecture,"Ayuso, Alessandro",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/90782
Architecture and Fire,"Zografos, Stamatis",Unknown Publisher,2019,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/26739
Beyond the Institution: Transforming the Learning Environment in Architectural Education,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/132972
Rethinking the Pavilion,"Walters, Cindy",Unknown Publisher,2026,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/174281
Survey of Architectural History in Cambridge,,Unknown Publisher,1967,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146661
Survey of Architectural History in Cambridge,,Unknown Publisher,1977,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146659
Die Kunstdenkmäler des Kantons Schwyz,"Tomaschett, Michael",Unknown Publisher,2021,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/139997
"Urban Oases,  Dutch Hofjes as Hidden Architectural Gems","Wilms Floet, Willemijn",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/160176
Literature and Architecture in Early Modern England,"Myers, Anne M.",Unknown Publisher,2013,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/88796
The Education of the Architect,,Unknown Publisher,1997,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146668
Barton Myers,"Miller-Fisher, Kris, Robertson, Bruce, Shivers, Natalie, Shubert, Howard, Hoyos, Luis, Oakley, Charles Warner",Unknown Publisher,2019,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/28996
The Visibility of Modernization in Architecture,,Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/163151
Beteiligung interkulturell gestalten,"INTERPART, Autor*innen-Kollektiv",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/79418
Ville et architecture en perspective,,Unknown Publisher,2018,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/86583
Urban Modernity in the Contemporary Gulf,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/72193
University College London,,Unknown Publisher,2026,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/172929
Archetypes in Architecture,Thomas Thiis-Evensen,Unknown Publisher,1987,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/41203
Architecture in Dialogue with an Activated Ground,"Bette, Urs",Unknown Publisher,2020,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/97825
Re-manufacturing networks for tertiary architectures,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/95921
"Architecture, Power and National Identity","Vale, Lawrence",Unknown Publisher,2014,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/173208
"Architecture, Power and National Identity","Vale, Lawrence",Unknown Publisher,2014,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/173571
Chapter 17 On vibrational architectures,"Ouzounian, Gascia, Werner, Jan",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/147412
Keys for architectural history research in the digital era : Handbook,"Antonio Mendes da Silva, Juliette Hueber",Unknown Publisher,2014,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/51084
Survey of Architectural History in Cambridge,,Unknown Publisher,1989,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146669
Architectures for Next Generation EU Cities,"ANTONINI, ERNESTO, GASPARI, JACOPO",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/94298
The Routledge Handbook of Interior Architecture Research,"Lanz, Francesca",Unknown Publisher,2026,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/172959
The Routledge Handbook of Interior Architecture Research,"Lanz, Francesca",Unknown Publisher,2026,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/173591
Survey of Architectural History in Cambridge,,Unknown Publisher,1971,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146672
Architecture in Times of Multiple Crises,"Crijns, Carolina",Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/151366
Conceptual Joining,,Unknown Publisher,2021,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/77180
Architecture of Memory,"Romik, Natalia",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/168783
Between Design and Making,,Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/138766
"The Routledge Handbook of Architecture, Urban Space and Politics, Volume I",,Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/151245
"Architecture, Modernity, Modernization : Inaugural Lecture delivered on Thursday 21 May 2014",Jean-Louis Cohen,Unknown Publisher,2020,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/41219
Indian Architecture in Postcards,,Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/112152
Architecture & Feminist Critical Theory,"Heynen, Hilde",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/169284
Drawing and Experiencing Architecture,"Charitonidou, Marianna",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/94742
Responsive Architecture,"Katunský, Dušan, Huang, Jeffrey",Unknown Publisher,2019,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/58337
Seven Years of Design Research at Politecnico di Milano,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/95926
Housing and Social Policy,,Unknown Publisher,2005,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/28609
Architecture and Social Sustainability,,Unknown Publisher,2002,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/161642
Architectural Space in Ancient Greece,"Doxiadis, Constantinos A.",Unknown Publisher,1972,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146677
Architecture in the Scandinavian Countries,"Donnelly, Marian C.",Unknown Publisher,1991,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146676
Osteuropäische Moderne,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/94930
Post-war Architecture between Italy and the UK,,Unknown Publisher,2021,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/74736
"The Routledge Handbook of Architecture, Urban Space and Politics, Volume II",,Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/148148
Space Syntax,,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/159003
"Real Space-Virtual Space. Aesthetics, Architecture and Immersive Environments",,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/158704.2
The Routledge Companion to the Sound of Space,,Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/147413
Virtual Plants: Modeling Plant Architecture in Changing Environments,"Hartmut Stutzel, Katrin Kahlen",Unknown Publisher,2017,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/62241
Tektonika v arhitekturi,,Unknown Publisher,2014,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/80397
Chapter 3 19th c. Panoramic Precision,"Koeck, Richard",Unknown Publisher,2025,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/148304
Enriching Architecture,,Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/95485
Landscape Architecture,,Unknown Publisher,2018,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/130492
Citation and Quotation in Early Modern Architecture,,Unknown Publisher,2024,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/152383
"We, the City",,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/96491
Chapter 1 Spatialization of oppression,"Bobic, Nikolina, Haghighi, Farzaneh",Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/151398
Living Politics in the City,,Unknown Publisher,2026,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/171995
Vibrant Architecture. Matter as a CoDesigner of Living Structures,"Armstrong, Rachel",Unknown Publisher,2015,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/62039
Conservation-restauration de l’architecture du mouvement moderne,Catherine Compain-Gajac,Unknown Publisher,2012,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/43875
"Architecture, Ceremonial, and Power","Necipoglu, Gülru",Unknown Publisher,1992,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146674
"Architecture, modernité, modernisation",Jean-Louis Cohen,Unknown Publisher,2017,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/41218
Stages of Memory,"Martinelli, Eliana",Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/148122
Exploring the Architecture of Place in America’s Farmers Markets,"Albright, Kathryn",Unknown Publisher,2020,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/89282
Des ponts et des villes : histoires d’un patrimoine urbain,,Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/146018
Mapping Wuhan,"Bekkering, Henco",Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/160173
Mobility Design,,Unknown Publisher,2022,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/96440
Le NbS-Nature-based Solutions per l’architettura e la città,,Unknown Publisher,2023,Books,Architecture,https://directory.doabooks.org/handle/20.500.12854/134014
